
                                                                                Prime factors of 3^k - 2^k for k <= 300


   k   |                                                                               Prime factors of 3^k - 2^k
-------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1 | 1
     2 | 5
     3 | 19
     4 | 5 13
     5 | 211
     6 | 5 7 19
     7 | 29 71
     8 | 5 13 97
     9 | 19 1009
    10 | 5 5 11 211
    11 | 23 23 331
    12 | 5 7 13 19 61
    13 | 53 29927
    14 | 5 29 71 463
    15 | 19 211 3571
    16 | 5 13 17 97 401
    17 | 129009091
    18 | 5 7 19 577 1009
    19 | 1559 745181
    20 | 5 5 11 13 211 4621
    21 | 19 29 43 71 6217
    22 | 5 23 23 331 35839
    23 | 47 2002867877
    24 | 5 7 13 19 61 97 5521
    25 | 101 211 39756701
    26 | 5 53 79 4057 29927
    27 | 19 1009 397760329
    28 | 5 13 29 71 463 369181
    29 | 68629840493971
    30 | 5 5 7 11 19 31 211 241 3571
    31 | 617671248800299
    32 | 5 13 17 97 401 3041 14177
    33 | 19 23 23 67 331 24939553
    34 | 5 3673 7039 129009091
    35 | 29 71 211 6091 18906721
    36 | 5 7 13 19 37 61 73 181 577 1009
    37 | 8891471 50642213021
    38 | 5 419 1559 555029 745181
    39 | 19 53 29927 134473349011
    40 | 5 5 11 13 41 97 211 281 3121 4621
    41 | 821 32309 99139 13869481
    42 | 5 7 7 19 29 43 71 463 6217 92233
    43 | 431 1196347 636618868367
    44 | 5 13 23 23 331 35839 2414250301
    45 | 19 211 1009 3571 204521695561
    46 | 5 47 461 3083 13249 2002867877
    47 | 1129 303168989 77681973839
    48 | 5 7 13 17 19 61 97 401 5521 41432641
    49 | 29 71 197 589955028851094677
    50 | 5 5 5 11 101 211 1201 513101 39756701
    51 | 19 307 3163 129009091 904841491
    52 | 5 13 13 53 79 1093 4057 29927 13761229
    53 | 19383245658672820642055731
    54 | 5 7 19 577 1009 377604937 397760329
    55 | 23 23 211 331 33000001 143083295851
    56 | 5 13 29 71 97 463 78569 369181 3001769
    57 | 19 19 457 1559 745181 8191816751977
    58 | 5 59 1567 148466603 68629840493971
    59 | 14130386091162273752461387579
    60 | 5 5 7 11 13 19 31 61 211 241 2341 3571 4621 24001
    61 | 93941 203778431 6643288986915481
    62 | 5 1489 3659 22674269 617671248800299
    63 | 19 29 43 71 1009 3529 6217 110251 278775379
    64 | 5 13 17 97 401 1153 3041 14177 1607133116929
    65 | 53 211 29927 2010191 47891351 319716931
    66 | 5 7 19 23 23 67 199 331 35839 22270249 24939553
    67 | 269 17685389279 19487546413505693209
    68 | 5 13 3673 7039 129009091 1282861452271981
    69 | 19 47 139 691 102811 174571 270619 2002867877
    70 | 5 5 11 29 71 211 463 6091 18906721 392943879511
    71 | 67049419 111998979662707645844109121
    72 | 5 7 13 19 37 61 73 97 181 577 1009 2593 3889 5521 27793
    73 | 293 645845309 357153955800796052994163
    74 | 5 149 8891471 50642213021 604408111852283
    75 | 19 101 211 601 1051 3571 39756701 16751715789451
    76 | 5 13 419 1559 555029 745181 103911691734684541
