
         Prime factors of |G| +/- 1 for the 26 sporadic simple groups G


   G   | Prime factors of |G| - 1
-------+------------------------------------------------------------------------
  M11  | 7919
  M12  | 7 13577
  M22  | 37 11987
  M23  | 10200959
  M24  | 14323 17093
  J2   | 13 46523
  Suz  | 41 10935256039
  HS   | 44351999
  McL  | 29 2477 12503
  Co3  | 29 17095401931
  Co2  | 975941 43348339
  Co1  | 305741 13599016182139
  He   | 587 6866077
  Fi22 | 64561751654399
  Fi23 | 619 12098171 546080551
  Fi24 | 503 3089 49597 49999 325770899
  HN   | 9091 17167 1749467
  Th   | 218047 416176071617
  B    | 2733821666711 1519770485331236443609
  M    | 1471 6149167 5747201032159 15543018973958611922865137163473
  J1   | 17 23 449
  O'N  | 460815505919
  J3   | 7 29 353 701
  Ly   | 1091 47447460131989
  Ru   | 5743 25409393
  J4   | 86775571046077562879


   G   | Prime factors of |G| + 1
-------+------------------------------------------------------------------------
  M11  | 89 89
  M12  | 101 941
  M22  | 13 109 313
  M23  | 443 23027
  M24  | 244823041
  J2   | 604801
  Suz  | 137 3272594873
  HS   | 44352001
  McL  | 31 41 706631
  Co3  | 163 6101 498527
  Co2  | 197 14431 14881043
  Co1  | 4157776806543360001
  He   | 29 138978869
  Fi22 | 19 3397986929179
  Fi23 | 4089470473293004801
  Fi24 | 15182429 82674894062778869
  HN   | 17 16060641882353
  Th   | 653 112913 1230750709
  B    | 439 38265991 247326528615334711352449
  M    | 18250906752127213 44272727693397225537389001926419074277
  J1   | 419 419
  O'N  | 37 73 170609221
  J3   | 50232961
  Ly   | 2719 19038315190879
  Ru   | 11 281 47210011
  J4   | 193 119129 3774180575273

