
Polynomial solutions to Pell's equation
=======================================

The values given in any line below satisfy D(k) = n and P^2 - DQ^2 = 1.

n =   1: perfect square
n =   2: k =  1, D = x^2+1,                     P = 2x^2+1, Q = 2x
n =   3: k =  1, D = x^2+2,                     P = x^2+1, Q = x
n =   4: perfect square
n =   5: k =  2, D = x^2+1,                     P = 2x^2+1, Q = 2x
n =   6: k =  2, D = x^2+2,                     P = x^2+1, Q = x
n =   7: k =  1, D = x^2+4x+2,                  P = x^2+4x+3, Q = x+2
n =   8: k =  2, D = x^2+2x,                    P = x+1, Q = 1
n =   9: perfect square
n =  10: k =  3, D = x^2+1,                     P = 2x^2+1, Q = 2x
n =  11: k =  3, D = x^2+2,                     P = x^2+1, Q = x
n =  12: k =  2, D = x^2+3x+2,                  P = 2x+3, Q = 2
n =  13: k =  1, D = 4x^2+4x+5,                 P = 32x^6+96x^5+168x^4+176x^3+120x^2+48x+9, Q = 16x^5+40x^4+56x^3+44x^2+20x+4
n =  14: k =  2, D = x^2+4x+2,                  P = x^2+4x+3, Q = x+2
n =  15: k =  3, D = x^2+2x,                    P = x+1, Q = 1
n =  16: perfect square
n =  17: k =  4, D = x^2+1,                     P = 2x^2+1, Q = 2x
n =  18: k =  4, D = x^2+2,                     P = x^2+1, Q = x
n =  19: k =  1, D = 9x^2+8x+2,                 P = 81x^2+72x+17, Q = 27x+12
n =  20: k =  3, D = x^2+3x+2,                  P = 2x+3, Q = 2
n =  21: k =  1, D = 4x^2+12x+5,                P = 4x^3+18x^2+24x+9, Q = 2x^2+6x+4
n =  22: k =  1, D = 9x^2+10x+3,                P = 81x^2+90x+26, Q = 27x+15
n =  23: k =  3, D = x^2+4x+2,                  P = x^2+4x+3, Q = x+2
n =  24: k =  4, D = x^2+2x,                    P = x+1, Q = 1
n =  25: perfect square
n =  26: k =  5, D = x^2+1,                     P = 2x^2+1, Q = 2x
n =  27: k =  5, D = x^2+2,                     P = x^2+1, Q = x
n =  28: k =  1, D = 36x^2-8x,                  P = 162x^2-36x+1, Q = 27x-3
n =  29: k =  2, D = 4x^2+4x+5,                 P = 32x^6+96x^5+168x^4+176x^3+120x^2+48x+9, Q = 16x^5+40x^4+56x^3+44x^2+20x+4
n =  30: k =  4, D = x^2+3x+2,                  P = 2x+3, Q = 2
n =  31: k =  1, D = 49x^2-20x+2,               P = 2401x^2-980x+99, Q = 343x-70
n =  32: k =  2, D = 9x^2-2x,                   P = 9x-1, Q = 3
n =  33: k =  2, D = 4x^2+7x+3,                 P = 8x+7, Q = 4
n =  34: k =  4, D = x^2+4x+2,                  P = x^2+4x+3, Q = x+2
n =  35: k =  5, D = x^2+2x,                    P = x+1, Q = 1
n =  36: perfect square
n =  37: k =  6, D = x^2+1,                     P = 2x^2+1, Q = 2x
n =  38: k =  6, D = x^2+2,                     P = x^2+1, Q = x
n =  39: k =  2, D = 9x^2+3,                    P = 6x^2+1, Q = 2x
